"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Date published","URLs","DOI","PMID","PMC ID","Abstract","Keywords"
"Journal Article","Siddiqi Z,Karoli R,Fatima J,Khanduri S,Varshneya S,Ahmad SS","Soft drinks consumption and the risk of nonalcoholic fatty liver disease","Journal of Association of Physicians of India","2017","65","MAY","28-32","","2017","https://www.scopus.com/pages/publications/85018401818?origin=resultslist","","","","",""
"Journal Article","Espinosa A,Mendoza K,Laviada-Molina H,Rangel-Méndez JA,Molina-Segui F,Sun Q,Tobias DK,Willett WC,Mattei J","Effects of Nonnutritive Sweeteners on the BMI of Children and Adolescents: A Systematic Review and Meta-Analysis of Randomized Controlled Trials and Prospective Cohort Studies","Advances in Nutrition","2024","15","12","","","2024","http://dx.doi.org/10.1016/j.advnut.2024.100292;https://www.scopus.com/pages/publications/85204405085?origin=resultslist","10.1016/j.advnut.2024.100292","","","",""
"Journal Article","Campos V,Despland C,Brandejsky V,Kreis R,Schneiter P,Boesch C,Tappy L","Metabolic effects of replacing sugar-sweetened beverages with artificially-sweetened beverages in overweight subjects with or without hepatic steatosis: A randomized control clinical trial","Nutrients","2017","9","3","","","2017","http://dx.doi.org/10.3390/nu9030202;https://www.scopus.com/pages/publications/85014232767?origin=resultslist","10.3390/nu9030202","","","",""
"Journal Article","Chang MW,Lin CJ,Lee RE,Wegener DT,Hu J,Williams KP","Factors Associated with Beverage Intake in Low-Income, Overweight, or Obese Pregnant Women","Nutrients","2022","14","4","","","2022","http://dx.doi.org/10.3390/nu14040840;https://www.scopus.com/pages/publications/85124966279?origin=resultslist","10.3390/nu14040840","","","",""
"Journal Article","Pengpid S,Peltzer K","The prevalence and associated factors of underweight and overweight/obesity among adults in kenya: Evidence from a national cross-sectional community survey","Pan African Medical Journal","2020","36","338","1-11","","2020","http://dx.doi.org/10.11604/pamj.2020.36.338.21215;https://www.scopus.com/pages/publications/85096028647?origin=resultslist","10.11604/pamj.2020.36.338.21215","","","",""
"Journal Article","Gonçalves KC,Tonaco LA,Veloso GA,Moreira AD,Felisbino-Mendes MS,Malta DC,Velasquez-Melendez G","Association between soft drink consumption and cardiovascular disease risk among Brazilian adults: a cross-sectional study","Sao Paulo Medical Journal","2025","143","4","","","2025","http://dx.doi.org/10.1590/1516-3180.2023.0433.R1.29112024;https://www.scopus.com/pages/publications/105015121461?origin=resultslist","10.1590/1516-3180.2023.0433.R1.29112024","","","",""
"Journal Article","Sánchez-Pimienta TG,Batis C,Lutter CK,Rivera JA","Sugar-sweetened beverages are the main sources of added sugar intake in the Mexican population","Journal of Nutrition","2016","146","9","1888S-1896S","","2016","http://dx.doi.org/10.3945/jn.115.220301;https://www.scopus.com/pages/publications/84988383480?origin=resultslist","10.3945/jn.115.220301","","","",""
"Journal Article","Biltoft-Jensen A,Matthiessen J,Ygil KH,Christensen T","Defining Energy-Dense, Nutrient-Poor Food and Drinks and Estimating the Amount of Discretionary Energy","Nutrients","2022","14","7","","","2022","http://dx.doi.org/10.3390/nu14071477;https://www.scopus.com/pages/publications/85128020560?origin=resultslist","10.3390/nu14071477","","","",""
"Journal Article","Ulambayar B,Móré M,Nagy AC","Artificial Sweetener Use in Hungary: A Cross-Sectional Study on Socioeconomic and Health Disparities from a Public Health Perspective","Nutrients","2025","17","14","","","2025","http://dx.doi.org/10.3390/nu17142352;https://www.scopus.com/pages/publications/105011661571?origin=resultslist","10.3390/nu17142352","","","",""
"Journal Article","Ismail E,Chi X,Bhatta M,Hosford J,Bernier A","The Impact of Artificially Sweetened Drinks on Metformin Efficacy","Nutrients","2025","17","5","","","2025","http://dx.doi.org/10.3390/nu17050797;https://www.scopus.com/pages/publications/86000626576?origin=resultslist","10.3390/nu17050797","","","",""
"Journal Article","Lana A,Lopez-Garcia E,Rodríguez-Artalejo F","Consumption of soft drinks and health-related quality of life in the adult population","European Journal of Clinical Nutrition","2015","69","11","1226-1232","","2015","http://dx.doi.org/10.1038/ejcn.2015.103;https://www.scopus.com/pages/publications/84947037698?origin=resultslist","10.1038/ejcn.2015.103","","","",""
"Journal Article","Ong J,Roem J,Ducharme-Smith K,Vizthum D,Lu M,Agrawal P,Urbina EM,Brady TM","Association of Sodium and Sugar-Sweetened Beverage Intake With Cardiovascular Disease Risk Factors in Adolescents and Young Adults With Obesity","Clinical Pediatrics","2024","63","5","669-679","","2024","http://dx.doi.org/10.1177/00099228231186666;https://www.scopus.com/pages/publications/85165650357?origin=resultslist","10.1177/00099228231186666","","","",""
"Journal Article","Kendig MD,Chow JY,Martire SI,Rooney KB,Boakes RA","Switching from Sugar- to Artificially-Sweetened Beverages: A 12-Week Trial","Nutrients","2023","15","9","","","2023","http://dx.doi.org/10.3390/nu15092191;https://www.scopus.com/pages/publications/85159079282?origin=resultslist","10.3390/nu15092191","","","",""
